gid,aBlkCnt,bBlkCnt
159,2,2
165,1,1
169,1,2
172,1,3
179,40,43
272,1,1
274,1,1
276,1,1
281,1,1
288,47,35
370,1,3
375,25,23
428,1,1
430,31,33
502,2,2
509,39,32
581,16,19
617,1,1
621,1,1
623,1,1
627,1,1
629,1,1
633,1,1
635,1,1
638,33,30
703,34,34
773,1,3
788,1,1
791,1,1
793,2,1
800,1,1
803,1,2
806,1,1
811,46,34
897,2,2
901,1,1
908,1,1
923,1,1
926,26,33
985,37,49
1077,29,31
1141,32,20
1198,44,44
1290,45,33
1368,35,33
1448,44,34
1534,38,31
1621,36,38
1695,37,31
1765,43,41
1866,39,39
1945,43,34
2024,1,1
2028,26,31
2096,38,26
2161,29,31
2222,41,40
2306,1,1
2308,35,24
2368,1,1
2371,1,1
2386,1,1
2388,39,34
2464,36,41
2541,78,66
2685,37,36
2760,34,37
2837,1,1
2844,42,34
2920,1,1
2922,38,43
3009,33,25
3072,1,2
3086,67,61
3215,33,32
3280,1,1
3286,36,26
3350,46,37
3434,1,1
3440,1,1
3442,49,43
3537,33,29
3604,34,32
3677,35,38
3771,1,1
3777,42,32
3851,42,39
3932,1,1
3934,39,42
4021,43,42
4119,44,38
4203,43,42
4293,1,1
4304,49,43
4396,36,32
4470,1,2
4473,1,1
4482,1,1
4484,1,2
4491,30,27
4551,1,2
4557,1,1
4580,1,1
4586,74,64
4732,1,1
4735,1,1
4742,1,1
4748,1,3
4754,2,2
4758,1,1
4764,1,1
4775,42,38
4855,1,1
4864,3,2
4871,1,2
4875,1,1
4896,25,26
4948,41,41
5034,1,2
5037,44,25
5110,35,40
5191,33,32
5267,37,27
5334,39,26
5400,35,33
5469,32,42
5546,34,36
5617,42,37
5697,24,18
5739,1,2
5758,33,32
5824,1,1
5837,1,1
5847,1,1
5849,1,2
5852,43,44
5939,34,33
6010,1,2
6014,38,30
6082,1,1
6084,43,33
6170,31,25
6237,39,34
6312,40,29
6397,1,1
6404,31,27
6467,73,68
6611,37,27
6686,45,38
6769,42,41
6853,38,36
6930,79,57
7069,1,1
7072,32,34
7139,1,1
7151,32,30
7245,1,1
7247,33,23
7303,40,32
7375,1,1
7378,79,60
7523,1,3
7529,38,31
7598,71,70
7739,36,32
7807,33,32
7875,1,1
7877,38,32
7949,30,32
8017,1,1
8021,1,1
8025,46,42
8118,47,39
8206,31,33
8278,39,37
8358,41,33
8437,2,1
8446,1,1
8448,1,1
8454,45,47
8547,1,1
8550,1,1
8555,30,35
8620,18,25
8665,2,2
8676,1,1
8678,1,3
8690,38,37
8766,1,1
8768,2,2
8772,41,40
8855,67,69
9002,1,1
9011,1,1
9016,2,1
9024,1,1
9028,1,2
9034,1,2
9052,1,2
9055,1,2
9067,3,2
9075,1,1
9080,1,4
9089,49,45
9183,35,23
9244,1,1
9253,37,29
9328,1,2
9331,48,37
9427,1,1
9432,1,1
9440,78,60
9583,33,29
9655,34,32
9744,1,1
9746,77,69
9894,31,31
9962,34,28
10025,34,21
10088,30,39
10167,1,1
10173,38,35
10247,35,32
10322,44,36
10402,33,30
10470,1,1
10473,39,36
10550,2,1
10553,38,33
10626,1,1
10633,38,36
10717,1,1
10720,1,1
10726,32,32
10791,45,37
10874,1,1
10892,1,1
10895,1,2
10902,39,41
10993,47,42
11082,77,72
11233,39,29
11307,38,37
11385,47,40
11474,40,37
11552,1,1
11560,30,39
11632,29,34
11695,1,2
11702,37,31
11779,66,64
11911,36,46
11993,4,1
12000,1,1
12016,44,34
12094,38,30
12162,36,35
12233,29,28
12291,24,32
12347,2,3
12352,76,75
12508,1,1
12513,1,2
12522,1,2
12537,32,37
12606,34,31
12676,47,32
12768,37,29
12842,1,1
12844,42,36
12927,33,26
12992,1,3
13002,1,2
13007,1,2
13011,3,3
13018,3,2
13026,2,2
13030,1,1
13032,1,5
13038,1,1
13043,2,2
13047,1,1
13049,1,1
13058,39,38
13140,33,33
13224,1,1
13227,1,1
13229,1,2
13244,2,1
13247,1,1
13251,1,1
13257,1,1
13265,1,1
13267,34,30
13338,1,1
13340,1,1
13342,1,2
13349,1,2
13353,42,29
13428,1,1
13430,1,5
13438,1,1
13455,38,32
13527,1,1
13529,2,1
13532,38,37
13608,1,1
13610,29,34
13677,40,35
13767,39,28
13834,30,35
13900,32,35
13969,63,56
14090,40,27
14162,39,36
14238,2,1
14247,1,2
14250,38,41
14329,1,1
14332,39,33
14412,39,30
14525,31,39
14595,39,39
14675,2,1
14678,1,2
14684,44,41
14781,1,2
14784,1,3
14789,3,1
14796,37,32
14866,1,4
14874,36,37
14952,27,25
15004,37,29
15071,1,2
15075,1,1
15077,1,1
15079,1,1
15088,39,39
15166,87,82
15337,1,1
15343,39,30
15417,22,27
15469,1,1
15471,1,1
15476,62,70
15608,37,45
15691,1,1
15697,45,38
15781,1,1
15784,41,40
15870,32,31
15937,37,32
16006,24,24
16062,32,24
16122,38,40
16201,2,1
16212,1,1
16217,49,41
16308,1,1
16317,43,43
16403,40,46
16497,33,28
16560,30,32
16627,36,29
16700,25,29
16754,37,34
16825,32,32
16896,1,1
16900,34,27
16965,1,1
16971,1,2
16977,44,31
17060,38,39
17141,26,36
17209,39,28
17276,25,31
17332,34,29
17399,40,30
17477,50,40
17576,36,35
17650,1,1
17659,82,69
17821,1,3
17827,50,36
17917,1,2
17922,2,2
17930,26,23
17985,29,27
18045,1,4
18056,2,1
18060,1,1
18062,1,1
18064,3,2
18071,2,1
18076,1,2
18079,1,1
18084,1,1
18091,2,2
18114,32,33
18206,39,30
18281,30,30
18341,41,31
18416,35,28
18479,41,30
18551,42,37
18630,1,1
18634,42,38
18714,1,2
18717,33,26
18788,1,2
18792,38,37
18867,1,1
18869,42,43
18959,30,27
19019,30,38
19087,1,2
19090,2,1
19095,34,33
19168,39,33
19241,38,33
19320,1,2
19323,92,88
19503,1,2
19507,46,38
19619,88,66
19782,1,1
19789,29,27
19857,1,1
19902,1,2
19907,35,37
19982,1,1
