gid,aBlkCnt,bBlkCnt
159,2,1
169,1,1
172,1,2
179,20,16
274,1,1
276,1,1
288,21,24
375,13,15
428,1,1
430,13,12
502,2,1
509,17,19
581,5,5
621,1,1
638,20,16
703,20,18
800,1,1
811,24,19
923,1,1
926,14,12
985,24,25
1077,16,15
1141,13,11
1198,19,18
1290,14,14
1368,20,16
1448,24,21
1534,20,18
1621,21,19
1695,17,16
1765,24,20
1866,20,20
1945,21,18
2028,12,12
2096,18,16
2161,15,15
2222,20,20
2308,15,12
2371,1,1
2386,1,1
2388,23,22
2464,21,20
2541,36,33
2685,13,12
2760,13,14
2844,18,17
2922,20,21
3009,16,12
3086,30,26
3215,15,15
3286,16,15
3350,25,21
3434,1,1
3440,1,1
3442,24,22
3537,14,15
3604,15,14
3677,18,15
3777,21,18
3851,23,20
3932,1,1
3934,26,23
4021,30,26
4119,19,20
4203,22,22
4304,25,19
4396,19,15
4470,1,1
4491,17,15
4551,1,1
4586,32,31
4754,1,1
4775,23,19
4864,1,1
4896,11,10
4948,22,19
5037,17,14
5110,20,21
5191,15,17
5267,14,12
5334,14,12
5400,14,13
5469,22,25
5546,19,16
5617,22,21
5697,12,11
5758,15,11
5824,1,1
5849,1,1
5852,27,27
5939,17,19
6014,11,9
6084,21,20
6170,12,9
6237,19,20
6312,18,15
6404,18,16
6467,33,31
6611,15,13
6686,22,19
6769,25,24
6853,22,22
6930,40,32
7072,12,11
7151,16,15
7247,17,12
7303,15,14
7375,1,1
7378,31,29
7529,20,13
7598,35,32
7739,22,18
7807,13,12
7877,17,15
7949,22,19
8017,1,1
8021,1,1
8025,26,24
8118,21,21
8206,18,17
8278,19,21
8358,18,12
8446,1,1
8454,25,25
8550,1,1
8555,18,17
8620,9,8
8678,1,1
8690,21,21
8772,19,21
8855,33,31
9055,1,2
9067,2,1
9089,26,28
9183,16,15
9253,18,15
9331,19,19
9432,1,1
9440,41,32
9583,16,12
9655,21,19
9746,42,36
9894,16,19
9962,17,15
10025,17,13
10088,19,20
10173,19,19
10247,18,14
10322,18,16
10402,18,14
10473,22,18
10550,1,1
10553,21,17
10633,19,16
10717,1,1
10726,24,20
10791,26,23
10895,1,2
10902,21,21
10993,19,18
11082,40,40
11233,15,14
11307,20,17
11385,27,25
11474,17,15
11552,1,1
11560,18,19
11632,9,11
11695,1,1
11702,13,12
11779,37,34
11911,18,19
12000,1,1
12016,18,17
12094,20,19
12162,20,20
12233,12,12
12291,12,10
12352,43,41
12537,18,17
12606,14,13
12676,25,20
12768,20,15
12844,21,16
12927,12,10
12992,1,1
13002,1,2
13007,1,1
13011,2,2
13018,2,1
13026,1,2
13032,1,1
13038,1,1
13043,1,1
13047,1,1
13049,1,1
13058,22,20
13140,14,15
13224,1,1
13229,1,2
13244,2,1
13251,1,1
13267,13,13
13342,1,2
13353,21,14
13428,1,1
13430,1,3
13455,16,17
13532,13,12
13608,1,1
13610,19,19
13677,28,26
13767,22,19
13834,17,12
13900,15,12
13969,31,29
14090,12,12
14162,17,11
14238,2,1
14250,23,21
14332,18,14
14412,20,17
14525,18,19
14595,21,21
14684,21,18
14781,1,2
14796,20,19
14874,19,17
14952,14,9
15004,19,19
15071,1,1
15075,1,1
15077,1,1
15088,23,23
15166,50,52
15337,1,1
15343,22,18
15417,10,11
15476,33,30
15608,22,21
15697,22,22
15784,20,17
15870,17,12
15937,15,12
16006,14,12
16062,16,13
16122,21,19
16212,1,1
16217,21,19
16317,25,24
16403,28,25
16497,14,13
16560,15,13
16627,17,15
16700,14,13
16754,19,18
16825,20,17
16900,13,8
16977,20,20
17060,21,18
17141,16,16
17209,16,16
17276,14,14
17332,15,14
17399,23,15
17477,26,22
17576,20,20
17659,40,39
17827,20,17
17930,11,10
17985,13,14
18060,1,1
18064,2,1
18071,1,1
18114,19,19
18206,18,17
18281,16,14
18341,19,20
18416,18,18
18479,22,18
18551,24,25
18634,20,21
18717,19,15
18792,17,16
18867,1,1
18869,25,22
18959,15,12
19019,17,15
19087,1,1
19090,1,1
19095,17,16
19168,23,20
19241,20,16
19323,54,46
19503,1,2
19507,18,17
19619,40,33
19789,10,12
19907,20,19
