gid,aBlkCnt,bBlkCnt
1,31,31
63,22,14
99,19,20
138,21,21
180,23,26
229,35,25
289,25,33
347,25,26
398,21,26
445,41,42
528,24,20
572,27,30
629,33,28
690,37,30
757,25,27
809,26,25
860,22,22
904,29,22
955,24,21
1000,42,35
1077,41,35
1153,26,32
1211,28,27
1266,26,19
1311,22,26
1359,28,31
1418,32,35
1485,27,25
1537,22,24
1583,26,26
1635,25,26
1686,41,29
1756,23,27
1806,29,24
1859,29,23
1911,25,25
1961,26,28
2015,22,25
2062,32,34
2128,28,28
2184,29,32
2245,24,22
2291,39,37
2367,25,31
2423,27,28
2478,22,25
2525,22,26
2573,27,28
2628,29,23
2680,29,31
2740,25,31
2796,30,33
2859,22,21
2902,21,17
2940,29,32
3001,34,33
3068,29,26
3123,26,37
3186,29,36
3251,28,22
3301,34,28
3363,18,19
3400,35,29
3464,34,34
3532,36,30
3598,27,31
3656,29,22
3707,29,24
3760,31,25
3816,27,26
3869,19,14
3902,26,25
3953,26,20
3999,36,33
4068,20,19
4107,28,22
4157,26,30
4213,21,15
4249,20,24
4293,32,31
4356,22,31
4409,34,41
4484,31,35
4550,30,25
4605,29,25
4659,20,32
4711,30,28
4769,18,24
4811,23,20
4854,30,22
4906,20,30
4956,26,33
5015,22,25
5062,33,35
5130,26,28
5184,23,17
5224,23,23
5270,25,23
5318,25,24
5367,29,31
5427,28,31
5486,32,29
5547,29,32
5608,30,19
5657,34,32
5723,33,38
5794,21,27
5842,28,29
5899,29,37
5965,29,34
6028,34,38
6100,32,30
6162,26,20
6208,30,26
6264,29,29
6322,23,25
6370,22,29
6421,21,22
6464,24,27
6515,18,23
6556,34,27
6617,29,25
6671,22,26
6719,18,22
6759,22,30
6811,14,24
6849,32,27
6908,25,29
6962,32,31
7025,23,21
7069,31,31
7131,30,28
7189,27,27
7243,21,25
7289,20,31
7340,40,42
7422,25,27
7474,28,24
7526,32,30
7588,44,38
7670,30,27
7727,30,34
7791,34,36
7861,23,24
7908,4,5
7917,28,34
7979,28,26
8033,33,30
8096,26,28
8150,32,34
8216,21,20
8257,29,22
8308,24,28
8360,28,27
8415,28,29
8472,27,30
8529,34,30
8593,34,35
8662,17,14
8693,27,21
8741,21,23
8785,31,33
8849,44,34
8927,23,27
8977,28,31
9036,36,33
9105,38,35
9178,19,22
9219,33,37
9289,25,24
9338,34,31
9403,23,27
9453,26,30
9509,17,26
9552,34,38
9624,25,24
9673,25,19
9717,23,22
9762,28,33
9823,22,30
9875,15,16
9906,30,23
9959,29,31
10019,29,29
10077,17,20
10114,25,28
10167,20,27
10214,33,17
10264,22,31
10317,41,29
10387,18,24
10429,24,23
10476,30,22
10528,30,26
10584,29,19
10632,30,26
10688,20,18
10726,26,33
10785,30,29
10844,25,24
10893,30,31
10954,28,25
11007,28,31
11066,34,28
11128,23,27
11178,24,24
11226,27,24
11277,28,26
11331,25,29
11385,32,26
11443,28,30
11501,30,37
11568,32,24
11624,20,23
11667,22,24
11713,35,29
11777,32,31
11840,21,20
11881,30,32
11943,22,29
11994,30,23
12047,25,26
12098,34,34
12166,41,33
12240,26,22
12288,26,26
12340,26,29
12395,23,19
12437,25,27
12489,33,36
12558,35,29
12622,21,31
12674,33,34
12741,21,30
12792,28,26
12846,28,25
12899,27,32
12958,23,18
12999,35,24
13058,28,25
13111,19,25
13155,26,30
13211,26,30
13267,34,25
13326,22,24
13372,28,25
13425,27,28
13480,31,32
13543,28,31
13602,30,26
13658,31,33
13722,17,25
13764,28,25
13817,19,19
13855,24,22
13901,35,25
13961,25,21
14007,21,24
14052,19,25
14096,34,28
14158,31,29
14218,18,22
14258,23,17
14298,32,30
14360,25,24
14409,20,19
14448,33,26
14507,27,28
14562,22,21
14605,26,26
14657,17,21
14695,32,28
14755,28,24
14807,33,31
14871,23,27
14921,30,26
14977,33,29
15039,32,25
15096,31,22
15149,27,28
15204,36,33
15273,36,33
15342,32,32
15406,28,31
15465,30,23
15518,32,18
15568,23,27
15618,21,25
15664,20,32
15716,22,22
15760,31,25
15816,30,30
15876,36,25
15937,27,25
15989,28,35
16052,30,31
16113,20,24
16157,32,32
16221,24,23
16268,18,22
16308,28,27
16363,29,26
16418,33,38
16489,22,24
16535,30,34
16599,24,22
16645,21,25
16691,22,27
16740,26,24
16790,20,28
16838,24,28
16890,28,26
16944,28,26
16998,27,24
17049,26,30
17105,30,25
17160,26,23
17209,26,29
17264,27,29
17320,33,31
17384,31,28
17443,34,33
17510,36,38
17584,23,26
17633,26,27
17686,27,23
17736,23,26
17785,26,20
17831,27,29
17887,26,35
17948,22,22
17992,30,29
18051,38,34
18123,34,28
18185,27,25
18237,23,31
18291,30,29
18350,13,24
18387,25,32
18444,20,28
18492,27,34
18553,23,20
18596,25,30
18651,27,26
18704,29,22
18755,23,22
18800,30,35
18865,33,31
18929,40,35
19004,34,36
19074,25,35
19134,27,21
19182,23,28
19233,32,34
19299,24,20
19343,20,28
19391,27,26
19444,25,23
19492,32,29
19553,29,27
19609,32,40
19681,36,38
19755,28,34
19817,36,39
19892,31,28
19951,24,26
