gid,aBlkCnt,bBlkCnt
1,6,7
63,3,3
99,3,3
138,4,3
180,4,4
289,5,5
347,7,7
398,3,4
445,3,4
528,3,2
572,8,8
629,6,9
690,7,6
757,3,3
809,6,6
860,3,4
904,5,4
955,2,4
1000,5,5
1077,6,5
1153,7,7
1211,3,2
1266,5,6
1311,5,4
1359,8,8
1418,8,7
1485,7,7
1537,8,8
1583,10,8
1635,10,10
1686,7,7
1756,7,6
1806,7,7
1859,4,4
1911,6,4
1961,5,6
2015,3,4
2062,11,10
2128,4,4
2184,2,2
2245,2,2
2291,4,4
2367,5,5
2423,4,3
2478,9,9
2525,7,6
2573,8,8
2628,5,5
2680,6,8
2740,4,2
2796,5,5
2859,5,4
2902,3,2
2940,5,7
3001,6,6
3068,6,8
3123,7,8
3186,8,8
3251,4,5
3301,10,10
3363,4,5
3400,9,8
3464,8,8
3532,11,10
3598,7,5
3656,8,8
3707,5,4
3760,3,4
3816,9,10
3869,3,3
3902,5,5
3953,4,4
3999,4,6
4068,2,3
4107,3,3
4157,5,6
4213,2,2
4249,3,3
4293,6,6
4356,4,3
4409,6,6
4484,8,8
4550,6,6
4605,5,4
4659,7,8
4711,5,5
4769,2,2
4811,5,4
4854,3,3
4906,7,6
4956,9,8
5015,3,2
5062,8,8
5130,3,3
5184,4,4
5224,2,5
5270,2,2
5318,7,7
5367,5,6
5427,6,6
5486,7,7
5547,13,13
5608,5,5
5657,8,8
5723,7,7
5794,3,4
5842,5,5
5899,6,7
5965,5,5
6028,7,6
6100,6,5
6162,6,6
6208,5,5
6264,4,3
6322,5,4
6370,5,5
6421,2,2
6464,8,8
6515,8,7
6556,2,3
6617,5,6
6671,5,5
6719,2,2
6759,6,6
6811,2,3
6849,8,7
6908,6,5
6962,9,9
7025,2,3
7069,7,8
7131,5,5
7189,6,5
7243,6,6
7289,4,5
7340,9,10
7422,4,5
7474,6,6
7526,9,9
7588,8,7
7670,10,9
7727,8,9
7791,9,10
7861,3,3
7917,9,8
7979,4,4
8033,7,7
8096,5,3
8150,6,7
8216,4,5
8257,2,1
8308,3,3
8360,3,5
8415,5,5
8472,2,2
8529,4,4
8593,8,8
8662,2,4
8693,6,8
8741,4,4
8785,5,3
8849,16,12
8927,4,4
8977,2,2
9036,9,7
9105,11,11
9178,5,5
9219,9,11
9289,4,4
9338,8,7
9403,7,6
9453,2,2
9509,3,4
9552,6,6
9624,3,3
9673,2,1
9717,4,2
9762,8,7
9823,4,5
9875,3,3
9906,5,5
9959,6,7
10019,6,6
10077,5,6
10114,4,4
10167,3,4
10214,6,4
10264,7,7
10317,13,9
10387,3,3
10429,5,5
10476,3,4
10528,9,8
10584,6,5
10632,6,8
10688,6,6
10726,6,6
10785,9,9
10844,8,7
10893,3,6
10954,9,8
11007,12,11
11066,5,4
11128,3,3
11178,2,3
11226,4,4
11277,3,4
11331,8,8
11385,9,7
11443,6,6
11501,8,10
11568,9,9
11624,5,5
11667,2,2
11713,7,5
11777,2,2
11840,3,5
11881,6,6
11943,5,5
11994,6,6
12047,6,5
12098,9,9
12166,9,8
12240,2,3
12288,2,3
12340,4,4
12395,9,9
12437,5,5
12489,6,8
12558,5,5
12622,4,6
12674,5,5
12741,7,8
12792,3,2
12846,5,3
12899,4,4
12958,6,6
12999,4,4
13058,2,4
13111,6,5
13155,3,3
13211,8,9
13267,7,7
13326,5,3
13372,4,3
13425,9,9
13480,5,5
13543,9,10
13602,10,10
13658,3,4
13722,1,1
13764,4,6
13817,2,2
13855,7,5
13901,5,5
13961,3,3
14007,1,1
14052,4,5
14096,7,6
14158,4,4
14218,5,5
14258,4,3
14298,7,6
14360,5,5
14409,6,6
14448,8,10
14507,4,4
14562,7,7
14605,8,7
14657,3,5
14695,8,7
14755,7,7
14807,8,9
14871,2,2
14921,6,5
14977,7,9
15039,6,4
15096,3,3
15149,8,7
15204,8,6
15273,5,6
15342,7,6
15406,4,5
15465,4,5
15518,4,2
15568,2,5
15618,3,4
15664,6,9
15716,3,3
15760,1,3
15816,5,4
15876,10,7
15937,7,5
15989,3,4
16052,8,8
16113,2,2
16157,8,8
16221,6,5
16268,3,4
16308,6,6
16363,5,5
16418,4,7
16489,7,7
16535,5,4
16599,3,3
16645,5,5
16691,5,6
16740,3,3
16790,3,4
16838,4,3
16890,10,8
16944,3,4
16998,8,8
17049,6,6
17105,5,4
17160,4,5
17209,7,7
17264,6,5
17320,10,9
17384,5,5
17443,9,9
17510,4,5
17584,9,9
17633,4,4
17686,4,5
17736,3,3
17785,3,4
17831,4,4
17887,9,9
17948,5,4
17992,5,5
18051,7,5
18123,5,3
18185,7,6
18237,5,5
18291,7,8
18350,5,4
18387,6,8
18444,3,4
18492,3,6
18553,3,2
18596,6,7
18651,5,4
18704,4,4
18755,6,5
18800,8,8
18865,8,7
18929,12,10
19004,9,8
19074,4,8
19134,6,5
19182,3,2
19233,6,7
19299,1,2
19343,6,5
19391,4,5
19444,5,3
19492,6,6
19553,3,3
19609,7,8
19681,4,4
19755,6,8
19817,12,11
19892,6,6
19951,6,5
