gid,aBlkCnt,bBlkCnt
3,1,1
5,2,1
8,1,1
13,1,2
23,1,1
33,1,1
48,1,1
53,1,1
66,2,3
71,1,2
76,2,1
88,1,1
92,1,1
112,1,4
120,1,1
149,1,2
169,1,1
175,1,1
182,1,1
193,1,1
195,1,1
199,1,1
202,1,1
206,1,1
222,1,1
240,1,1
246,1,1
250,1,1
258,1,1
263,1,1
265,1,1
274,1,1
279,1,2
283,2,1
295,1,2
301,1,2
305,1,1
307,2,1
312,1,1
316,2,1
332,1,1
339,1,1
342,1,1
347,1,2
353,2,1
358,1,1
371,1,1
373,1,1
375,1,1
382,1,1
384,1,1
389,1,1
392,1,3
397,1,1
404,1,1
423,1,1
425,1,1
427,1,1
429,1,1
431,1,1
436,1,2
441,1,1
446,1,1
450,1,1
459,1,3
465,1,4
470,1,4
475,1,2
483,3,2
488,1,2
491,3,4
498,2,4
504,2,3
510,1,4
515,1,3
519,2,1
522,2,7
531,2,5
539,1,3
546,2,1
553,1,3
557,2,2
561,1,2
571,1,1
573,2,3
579,3,2
584,1,4
589,1,1
591,2,2
599,2,1
602,2,4
608,47,50
705,133,132
970,130,120
1220,136,126
1482,134,128
1744,117,123
1984,128,130
2242,137,129
2508,137,113
2758,149,118
3025,114,125
3264,125,125
3514,123,119
3756,125,119
4000,126,114
4240,124,109
4473,133,109
4715,128,132
4975,146,146
5267,128,114
5509,128,128
5765,108,113
5986,129,133
6248,128,122
6498,113,123
6734,130,109
6973,113,116
7202,123,131
7456,116,130
7702,114,110
7926,140,123
8189,144,131
8464,134,118
8716,116,105
8937,143,127
9207,109,118
9434,125,128
9687,125,114
9926,119,111
10156,119,115
10390,129,120
10639,129,125
10893,141,144
11178,132,122
11432,137,124
11693,119,106
11918,138,126
12182,139,119
12440,106,118
12664,127,130
12921,135,136
13192,123,128
13443,122,117
13682,126,115
13923,143,117
14183,141,114
14438,150,138
14726,130,112
14968,128,131
15227,140,137
15504,127,126
15757,117,106
15980,120,103
16203,117,127
16447,129,135
16711,109,109
16929,133,134
17196,122,95
17413,125,126
17664,151,127
17942,141,116
18199,125,129
18453,127,119
18699,133,118
18950,111,111
19172,64,67
19303,1,5
19309,2,3
19314,5,6
19325,1,3
19331,1,1
19333,1,1
19335,1,1
19339,1,2
19362,1,3
19366,1,1
19376,1,1
19379,1,1
19386,2,1
19389,2,1
19397,1,2
19408,1,1
19416,1,1
19425,1,2
19433,1,2
19445,1,1
19455,1,1
19458,1,1
19461,1,2
19469,1,1
19472,2,1
19486,1,1
19501,1,1
19504,3,1
19515,1,1
19519,1,1
19523,1,1
19525,1,1
19529,1,2
19533,1,2
19547,1,1
19552,1,1
19565,1,1
19597,2,1
19611,2,1
19615,2,1
19618,1,1
19632,1,1
19639,1,3
19656,1,1
19661,1,2
19667,1,1
19672,1,1
19681,1,1
19683,1,1
19691,1,1
19694,1,1
19697,1,1
19706,1,1
19710,1,1
19752,2,1
19755,1,1
19759,1,1
19762,1,1
19765,1,1
19772,1,1
19781,1,1
19788,1,1
19792,1,1
19820,1,2
19823,1,1
19825,2,1
19828,1,1
19832,1,2
19837,1,2
19840,1,1
19843,1,1
19847,1,1
19855,1,2
19863,1,2
19867,1,1
19873,1,2
19883,1,1
19891,1,1
19906,1,1
19909,1,1
19921,1,2
19925,1,1
19932,1,1
19941,1,1
19943,1,1
19969,1,3
19974,1,1
19976,1,1
19979,1,2
19982,2,2
19988,1,1
19994,2,1
