gid,aBlkCnt,bBlkCnt
92,1,1
450,1,1
608,2,3
705,14,15
970,10,10
1220,22,20
1482,13,13
1744,10,8
1984,18,19
2242,15,14
2508,9,10
2758,11,10
3025,12,11
3264,12,13
3514,12,12
3756,8,7
4000,12,13
4240,19,16
4473,11,10
4715,13,12
4975,17,14
5267,9,6
5509,16,14
5765,11,11
5986,14,14
6248,11,11
6498,15,13
6734,13,14
6973,13,14
7202,11,10
7456,10,8
7702,3,2
7926,16,11
8189,13,13
8464,14,12
8716,11,10
8937,13,11
9207,15,16
9434,9,10
9687,13,12
9926,12,10
10156,8,7
10390,14,12
10639,16,12
10893,15,16
11178,17,13
11432,16,15
11693,15,12
11918,12,13
12182,13,14
12440,16,14
12664,15,13
12921,11,14
13192,10,9
13443,7,7
13682,9,8
13923,17,20
14183,13,11
14438,12,13
14726,14,11
14968,14,18
15227,17,17
15504,17,17
15757,12,9
15980,10,7
16203,11,12
16447,6,5
16711,12,9
16929,19,17
17196,14,12
17413,15,10
17664,17,16
17942,14,16
18199,12,12
18453,15,14
18699,15,16
18950,11,11
19172,7,7
