gid,aBlkCnt
179,3
288,5
375,5
430,3
509,3
581,2
638,7
703,3
811,3
926,3
985,6
1077,6
1141,1
1198,5
1290,2
1368,5
1448,6
1534,6
1621,9
1695,1
1765,6
1866,3
1945,5
2028,4
2096,2
2161,1
2222,2
2308,3
2388,5
2464,2
2541,6
2685,2
2760,3
2844,2
2922,1
3009,2
3086,5
3215,3
3286,4
3350,4
3442,2
3537,4
3604,2
3677,2
3777,2
3851,2
3932,1
3934,2
4021,6
4119,4
4203,6
4304,6
4396,2
4586,9
4775,5
4896,3
4948,3
5037,1
5110,3
5191,3
5334,4
5400,4
5469,1
5546,3
5617,9
5697,3
5758,4
5852,10
5939,2
6014,2
6084,5
6170,3
6237,5
6312,3
6404,6
6467,4
6611,4
6686,5
6769,7
6853,5
6930,8
7072,7
7151,6
7247,5
7303,4
7378,5
7529,4
7598,8
7739,5
7807,1
7877,8
7949,6
8025,5
8118,2
8206,5
8278,2
8358,3
8454,7
8555,3
8620,4
8690,3
8772,1
8855,13
9089,7
9183,5
9253,4
9331,3
9440,10
9583,7
9655,4
9746,7
9894,5
9962,2
10025,3
10088,3
10173,7
10247,4
10322,2
10402,3
10473,6
10553,7
10633,2
10726,3
10791,6
10902,5
10993,3
11082,5
11233,5
11307,4
11385,8
11474,4
11560,5
11632,2
11702,2
11779,8
11911,3
12016,6
12094,5
12162,2
12233,6
12291,3
12352,10
12537,3
12606,3
12676,4
12768,2
12844,6
12927,2
13007,1
13058,4
13267,4
13353,3
13430,1
13455,3
13532,2
13610,3
13677,3
13767,4
13834,4
13900,2
13969,8
14090,5
14162,1
14250,2
14332,5
14412,3
14525,3
14595,4
14684,6
14796,5
14874,1
14952,2
15004,5
15088,2
15166,6
15343,2
15417,1
15476,7
15608,1
15697,5
15784,1
15870,5
16006,2
16062,1
16122,5
16217,4
16317,6
16403,5
16497,2
16560,4
16627,2
16700,3
16754,1
16825,3
16977,6
17060,4
17141,1
17209,7
17276,5
17332,2
17399,4
17477,9
17576,4
17659,9
17827,4
17930,4
17985,2
18114,6
18206,1
18281,5
18341,2
18416,5
18479,1
18551,9
18634,3
18717,2
18792,5
18869,9
19095,2
19168,7
19241,4
19323,14
19507,6
19619,6
19789,3
19907,6
