gid,bBlkCnt
179,3
288,5
375,5
430,2
509,4
581,2
638,4
703,1
811,4
926,3
985,6
1077,5
1141,1
1198,5
1290,2
1368,5
1448,5
1534,6
1621,11
1695,3
1765,4
1866,3
1945,3
2028,4
2096,2
2161,1
2222,2
2308,2
2388,4
2464,2
2541,5
2685,2
2760,3
2844,2
2922,2
3009,1
3086,3
3215,3
3286,3
3350,3
3442,1
3537,5
3604,1
3677,2
3777,1
3851,2
3932,1
3934,2
4021,6
4119,4
4203,5
4304,3
4396,2
4586,7
4775,4
4896,3
4948,2
5037,1
5110,2
5191,4
5334,4
5400,3
5469,2
5546,3
5617,9
5697,3
5758,2
5852,9
5939,2
6014,1
6084,5
6170,3
6237,4
6312,2
6404,4
6467,4
6611,4
6686,3
6769,5
6853,4
6930,6
7072,6
7151,4
7247,2
7303,5
7378,6
7529,2
7598,6
7739,4
7807,2
7877,6
7949,6
8025,3
8118,3
8206,5
8278,3
8358,1
8454,7
8555,4
8620,3
8690,3
8772,2
8855,13
9089,6
9183,4
9253,3
9331,3
9440,9
9583,4
9655,2
9746,4
9894,5
9962,2
10025,2
10088,4
10173,7
10247,3
10322,2
10402,2
10473,5
10553,3
10633,2
10726,1
10791,6
10902,6
10993,3
11082,5
11233,4
11307,3
11385,6
11474,4
11560,6
11632,2
11702,3
11779,6
11911,3
12016,5
12094,4
12162,2
12233,6
12291,3
12352,7
12537,3
12606,3
12676,4
12768,1
12844,4
12927,2
13007,1
13058,4
13267,4
13353,2
13430,1
13455,4
13532,1
13610,3
13677,4
13767,3
13834,1
13900,2
13969,8
14090,5
14162,1
14250,2
14332,4
14412,2
14525,3
14595,4
14684,6
14796,4
14874,3
14952,1
15004,3
15088,4
15166,6
15343,1
15417,2
15476,6
15608,1
15697,6
15784,1
15870,4
16006,2
16062,1
16122,4
16217,4
16317,4
16403,5
16497,2
16560,3
16627,2
16700,3
16754,1
16825,4
16977,5
17060,4
17141,1
17209,7
17276,5
17332,2
17399,2
17477,9
17576,4
17659,8
17827,4
17930,4
17985,2
18114,6
18206,2
18281,4
18341,3
18416,5
18479,1
18551,10
18634,4
18717,2
18792,4
18869,8
19095,2
19168,6
19241,3
19323,12
19507,9
19619,6
19789,3
19907,6
