id,BFInt,BFBin,BFBin
5782,222016037660,10110001001011111110001100011100,10110001001011111110001100011100
6000,8440259808,11110111000101000010010011100000,11110111000101000010010011100000
6405,801056907567,10000010101101100110000100101111,10000010101101100110000100101111
6659,540719186876,11100101011000000000001110111100,11100101011000000000001110111100
8309,510097622196,11000100001100000000010010110100,11000100001100000000010010110100
8532,195910529145,10011101001011010111000001111001,10011101001011010111000001111001
8966,166780872377,11010100111010100010011010111001,11010100111010100010011010111001
9621,734176342534,11110000010100011111001000000110,11110000010100011111001000000110
9771,512980149345,01101111111111111110010001100001,01101111111111111110010001100001
1,298264452483,01110001111100100101110110000011,01110001111100100101110110000011
2,234327571373,10001111000000101111101110101101,10001111000000101111101110101101
3,483467615998,10010000111010100101111011111110,10010000111010100101111011111110
4,760244751343,00000010000111100100101111101111,00000010000111100100101111101111
5,577784195089,10000110100111110010100000010001,10000110100111110010100000010001
6,280171654419,00111011100010000010110100010011,00111011100010000010110100010011
7,950976838017,01101010101000101111100110000001,01101010101000101111100110000001
8,8371319028,11110010111110000011000011110100,11110010111110000011000011110100
9,775456450284,10001100110011100110011011101100,10001100110011100110011011101100
10,176228166874,00001000000001000110110011011010,00001000000001000110110011011010
11,410391753309,10001101010000010011001001011101,10001101010000010011001001011101
12,897742586662,00000101101000001100001100100110,00000101101000001100001100100110
13,492713416693,10111000000000100001011111110101,10111000000000100001011111110101
14,197880531019,00010010100110010100100001001011,00010010100110010100100001001011
15,485146088976,11110100111101011101011000010000,11110100111101011101011000010000
16,696734562611,00111000100111011011100100110011,00111000100111011011100100110011
17,348376456398,00011100110110101101110011001110,00011100110110101101110011001110
18,817646587367,01011111100010001100110111100111,01011111100010001100110111100111
19,496084520113,10000000111100010000110010110001,10000000111100010000110010110001
20,679532418716,00110111010010011101011010011100,00110111010010011101011010011100
21,267747608341,01010111000000000100011100010101,01010111000000000100011100010101
22,950438925627,01001010100100110001010100111011,01001010100100110001010100111011
23,629384318623,10001010001110101000111010011111,10001010001110101000111010011111
24,276186633583,01001110000000011001010101101111,01001110000000011001010101101111
25,763841511872,11011000100000001000000111000000,11011000100000001000000111000000
26,182449184178,01111010110100011001110110110010,01111010110100011001110110110010
27,786283021672,00010010000111101100010101101000,00010010000111101100010101101000
28,959750806450,01110101100110110001101110110010,01110101100110110001101110110010
29,349228822449,01001111101010001110111110110001,01001111101010001110111110110001
30,532805042884,00001101101001111100001011000100,00001101101001111100001011000100
31,485076634474,11110000110100100000101101101010,11110000110100100000101101101010
32,647492040365,11000001100010000111011010101101,11000001100010000111011010101101
33,767131380151,10011100100101111110100110110111,10011100100101111110100110110111
34,968543015905,10000001101010011001001111100001,10000001101010011001001111100001
35,420082470387,11001110110111011100110111110011,11001110110111011100110111110011
36,357261253918,00101110011011100001110100011110,00101110011011100001110100011110
37,261060349003,11001000011010001100110001001011,11001000011010001100110001001011
38,383404987083,01000100101101111101001011001011,01000100101101111101001011001011
39,365631338839,00100001010100110111100101010111,00100001010100110111100101010111
40,48862477965,01100000011011100011111010001101,01100000011011100011111010001101
41,559631919391,01001100101010010110100100011111,01001100101010010110100100011111
42,776021857582,10101110100000011101010100101110,10101110100000011101010100101110
43,946603830061,01100101111111000010101100101101,01100101111111000010101100101101
44,64691014762,00001111111000101000110001101010,00001111111000101000110001101010
45,973901154035,11000001000010000100011011110011,11000001000010000100011011110011
46,444095597715,01100110001010010000110010010011,01100110001010010000110010010011
47,761424342806,01001000011011010110111100010110,01001000011011010110111100010110
48,334623289571,11101001000110100011000011100011,11101001000110100011000011100011
53,274087863761,11010000111010001110010111010001,11010000111010001110010111010001
49,269854541598,11010100100101011000011100011110,11010100100101011000011100011110
50,26501386965,00101011100110110001001011010101,00101011100110110001001011010101
51,541834237995,00100111110101100101100000101011,00100111110101100101100000101011
52,232639145903,00101010010111111010011110101111,00101010010111111010011110101111
54,655884471022,10110101110000101100101011101110,10110101110000101100101011101110
55,818019637011,01110101110001010001011100010011,01110101110001010001011100010011
56,8826336454,00001110000101110011010011000110,00001110000101110011010011000110
57,838332421093,00110000100000011001001111100101,00110000100000011001001111100101
58,616648337362,10010011000110101110011111010010,10010011000110101110011111010010
59,968575908338,10000011100111110111100111110010,10000011100111110111100111110010
60,199906922220,10001011011000011000111011101100,10001011011000011000111011101100
61,161799059384,10101011111110011011011110111000,10101011111110011011011110111000
62,465998221491,01111111101010001001000010110011,01111111101010001001000010110011
63,847397728019,01001100110101110010111100010011,01001100110101110010111100010011
64,928929204969,01001000011111101100101011101001,01001000011111101100101011101001
65,446886916075,00001100100010010010111111101011,00001100100010010010111111101011
66,279825877085,00100110111011000000100001011101,00100110111011000000100001011101
67,298536137565,10000010001000111111001101011101,10000010001000111111001101011101
68,707946030511,11010100110111110010010110101111,11010100110111110010010110101111
69,663229629602,01101011100100010000010010100010,01101011100100010000010010100010
70,664166241838,10100011011001001001011000101110,10100011011001001001011000101110
71,756807274370,00110101001110101000111110000010,00110101001110101000111110000010
72,235207227671,11000011011100010111100100010111,11000011011100010111100100010111
73,452533778558,01011101000111010111100001111110,01011101000111010111100001111110
74,715756783110,10100110011011011100011000000110,10100110011011011100011000000110
75,299897007866,11010011010000010010111011111010,11010011010000010010111011111010
76,438780611271,00101001010111001100101011000111,00101001010111001100101011000111
77,172198059963,00010111110011011101111110111011,00010111110011011101111110111011
78,73667029810,00100110111001011010101100110010,00100110111001011010101100110010
79,773402666275,00010010011001000010010100100011,00010010011001000010010100100011
80,446284689157,11101000101000111110111100000101,11101000101000111110111100000101
81,343520336842,11111011011010000101101111001010,11111011011010000101101111001010
82,799902819134,00111101111011000110001100111110,00111101111011000110001100111110
83,464605831,00011011101100010101001010000111,00011011101100010101001010000111
84,576158248639,00100101101101010010111010111111,00100101101101010010111010111111
85,468132968834,11111110111001100011100110000010,11111110111001100011100110000010
86,818483008736,10010001011000111001010011100000,10010001011000111001010011100000
87,584983350527,00110011101110011000110011111111,00110011101110011000110011111111
88,318811068605,00111010100111101101100010111101,00111010100111101101100010111101
89,447477024776,00101111101101011000100000001000,00101111101101011000100000001000
90,565904938003,11000010100100000001010000010011,11000010100100000001010000010011
91,518716756259,11000101111011011001000100100011,11000101111011011001000100100011
